title,year,genre,country
Poslednata duma,1973,Drama,BULGARIA
Daijiga umule pajinnal,1996,Drama,SOUTH
Psychopath,1973,Horror,USA
The True Story of the Civil War,1957,Documentary,USA
Snowball,1960,Drama,UK
Linda,1993,TV Movie,USA
The Sitter,1991,TV Movie,USA
Haru,1996,Drama,JAPAN
L’adolescente,1979,Drama,FRANCE
Venice: Theme and Variations,1957,Documentary,UK
Po di sangui,1996,Drama,FRANCE
Greed (1924) [Custom Theatrica,1924,Silent,USA
Raku-yo-ju,1986,Drama,JAPAN
Pałac,1980,Drama,POLAND
Kommando 52,1965,Documentary,EAST
Red Salute,1935,Comedy,USA
Cuba Libre,1996,Drama,GERMANY
Of Love and Shadows,1994,Drama,ARGENTINA
Die verkaufte Braut,1932,Comedy,GERMANY
Yokel Boy,1942,Comedy,USA
"What’s Buzzin’, Cousin?",1943,Comedy,USA
Hold-Up,1985,Comedy,CANADA
Itineraire d’un enfant gate,1988,Adventure,FRANCE
Hitomi no naka no houmonsha,1977,Mystery,JAPAN
Stan posiadania,1989,Drama,POLAND
La otra,1946,Film Noir,MEXICO
Die Angst des Tormanns beim Elfmeter,1972,Drama,AUSTRIA
Zupa,1975,Animation,POLAND
Bix: ‘Ain’t None of Them Play Like Him Yet’,1981,Biography,CANADA
The Mongreloid,1978,Short,USA
The Happiness of Three Women,1954,Drama,UK
Égi bárány,1971,Drama,HUNGARY
Les yeux cernés,1964,Film Noir,FRANCE
Les bons débarras,1980,Drama,CANADA
Sammy and Rosie Get Laid,1987,Comedy,UK
A Nice Little Bank That Should Be Robbed,1958,Comedy,USA
Mourning Becomes Electra,1978,Mini-Series,USA
Yeats Country,1965,Short,IRELAND
The Emissary,1988,Thriller,SOUTH
Scared Silent,2002,TV Movie,USA
Residencia para espías,1966,Eurospy,SPAIN
Bruxelles-transit,1981,Documentary,BELGIUM
"Coffee, Tea or Me?",1973,TV Movie,USA
Said O’Reilly to McNab,1937,Comedy,UK
The Joker Is Wild,1957,Drama,USA
What Rats Won’t Do,1998,Comedy,UK
The Jellyfish,1974,Animation,UK
Fun,1994,Drama,CANADA
O.K.,1964,Documentary,EAST
Piège,1970,Cult,FRANCE
Benilde ou a Virgem Mãe,1975,Cult,PORTUGAL
Portrait d’une jeune fille de la fin des années 60 à Bruxelles,1994,Television,FRANCE
Ôkami shôjo,2005,Drama,JAPAN
Calle Santa Fe,2007,Documentary,BELGIUM
Track of Thunder,1967,Action,USA
Take a Chance,1933,Comedy,USA
Jo no mai,1984,Biography,JAPAN
"Kikyû kurabu, sonogo",2006,Drama,JAPAN
Los desafíos,1969,Thriller,SPAIN
Black Neon,1991,Action,AUSTRALIA
Fair Game,1994,TV Movie,UK
No Diamonds for Ursula (1967) [Engli,1967,Mystery,ITALY
Hard Feelings,1981,Drama,CANADA
The Woman Who Willed a Miracle,1983,Television,USA
A House Divided: Denmark Vesey’s Rebellion,1982,TV Movie,USA
Los santos inocentes,1984,Drama,SPAIN
My Brother Tom,2001,Drama,UK
O thiasos,1975,Drama,GREECE
Muži bez křídel,1946,Drama,CZECHOSLOVAKIA
Gnomes,1980,Animation,USA
Dirt,1998,Experimental,USA
Choreography for Copy Machine (Photocopy Cha Cha),1991,Experimental,USA
Warning Shot,1967,Mystery,USA
Marco,1973,Adventure,JAPAN
"Variation – oder Daß es Utopien gibt, weiß ich selber!",1983,Drama,WEST
Bulan Tertusuk Ilalang,1995,Drama,INDONESIA
Tell Me Lies,1968,Documentary,UK
Anybody’s Nightmare,2001,TV Movie,UK
Wonderland,1997,Documentary,USA
Nabokov on Kafka,1989,Television,USA
Medal for the General,1944,Drama,UK
Coming Through,1985,TV Movie,UK
Loose Connections,1983,Comedy,UK
Aurora (1984) [Engli,1984,TV Movie,ITALY
Fräulein Doktor,1969,Thriller,ITALY
Friends at Last,1995,TV Movie,CANADA
Corleone (1978) [Engli,1978,Thriller,ITALY
Can Ellen Be Saved?,1974,TV Movie,USA
